Lemma,Language Code,Lexical Category,Definition
အကံက်,mnw,noun,3 (n) interpretation.   အကံက်ယမိက် (n) interpretation of the sixth book of the Abhidhamma  {Yamaka}.
အကံၚ်,mnw,noun,"(n) skinny fellow or man, scraggy fellow or man, thin and uniform fellow or man, bony fellow {be all skin and bone}."
အကး,mnw,noun,(n) sky. [id.] အာကာသ။
အက္ခဝ်,mnw,noun,"(n) character, letter of an alphabet, alphabet. [id] အခဝ်။"
အက္ခဝ်ရောံ,mnw,noun,(n) Roman letters.
အက္ခဝ်သိလိလ,mnw,noun,"(n) unaspirated consonants, such as က၊ ဂ၊ စ၊ ဇ။ (etc.)"
အကျ,mnw,noun,"(n) a person who gives up, surrender, a person who concede, give in, yield or who defeated, flees, runsaway."
အကျဝ်,mnw,noun,(n) handicap or advantage (in a race or competition)
အကြ,mnw,noun,(n) large storage jar.
အကြ,mnw,noun,ဇရဳအကြ (n) particularly large type of jar in which water is stored of domestic use.
အကြၚ်,mnw,noun,"(n) a person who is going for place to place, circles, travels around, roams, wander, a person who goes around here and there."
အကြာ,mnw,,"(prep.) between, among, amongst, amidst."
အကြာ,mnw,,ကောန်စာၚ်ဂမၠိုၚ် အောပ်ထောံအကြာသၠဆုအိုတ်ရ။ (prep.) the chicks all hid in among the leaves.
အကြာ,mnw,,လ္ပလုပ်ပထုဲအကြမၞိဟ်ဂလှ် (prep.) do not associate with foolish people.
အကြာန်,mnw,noun,"(n) a blindly foolish person, a person who does the work without thinking any things, a rash person, an impetuous man, dare-devil."
အကြာပိုန်,mnw,,(prep.) between meals. [id.] အန္တရဘတ်။
အကြာပ်,mnw,noun,"(n) supervisor, corporal, subordinate military officer {like a sergeant or corporal}, a guard."
အကြာပ်ထံၚ်,mnw,noun,"(n) warder, jailer, person who works as a guard in a prison."
အကြာပ်ပေဲါ,mnw,noun,(n) a person in charge of maintaining discipline in a public show or fair.
အကြာဗၠာဲသၟိၚ်,mnw,noun,(n) police sergeant.
အကြာမၞိဟ်,mnw,,"(prep.) among the crowd, society, public."
အကြာမၞိဟ်ဂမၠိုၚ်,mnw,,"(prep.) amidst the crowd, among the people."
အကြာမၞိဟ်သၠိုက်,mnw,,(prep.) between the audience.
အကြာဟၟဲကဵုနွံ,mnw,noun,(n) state of being fairly well off.
အကြိုက်,mnw,adverb,"(adv) exactly as, the same as, just as."
အကြိုက်,mnw,adverb,အကြိုက်ညံၚ်ရဴၝဲဍေံဂေါဝ်ဆာဲ (adv) just as beautiful as her sister.
အကြိုက်,mnw,adverb,အကြိုက်ညံၚ်ညးမမၠာ်မတ် (adv) just as he opened his eyes.
အကြိုက်,mnw,adverb,ဍေံမဒှ်ညံၚ်ရဴကသပ်အဲ (adv) it is just as I thought {the same as}.
အကြိုန်,mnw,noun,"(n) a recalcitrant person, dare-may-care person."
အကြီု,mnw,noun,"(n) boasting, boast, swagger, acclamation, praise, prominence, {arch} historical account of a royal campaign."
အကြီုနိဒါန်,mnw,noun,"(n) story, preface, the particulars of a matter, the introduction, foreword."
