Lemma,Language Code,Lexical Category,Definition
အၚ်သ,mnw,noun,"(n) bodice worn by monks, covering the chest, back and left shoulder. [Cf.] အၚ်ဒကုတ်၊ သကိုပ်၊ သပိုၚ်၊ သ္ၚာ။"
အၚ်သာ,mnw,noun,(n) [P. antha] [Skt. astro] degree.
အၚ်သြန်,mnw,noun,(n) silver ucp. [Cf.] ဂရ၊ သၠိုၚ်။
အၚ်အခိၚ်,mnw,noun,(n) time table.
အၚ်္ကရိယာစက်,mnw,noun,(n) machinery. [id] ကပေါတ်အၚ်္ဂစက်၊ ယာန်စက်အလဵုအသဳ။
အၚ်္ဂ,mnw,noun,"(n) [P.] member, limb, portion, division, part of body, anatomical part, twelve pages of plam leaf writing, corps {of troops}, division of an army, feature, characteristic, qualification."
အၚ်္ဂဇာတ်,mnw,noun,(n) organs of generation.
အၚ်္ဂဒဵု,mnw,noun,"(n) plaster, cement, mortar, coating of plaster over brick."
အၚ်္ဂဒဵု,mnw,noun,ကၞဳအၚ်္ဂဒဵု (n) cement floor.
အၚ်္ဂပၞာန်,mnw,noun,"(n) combat arms {consisting of the elephant corps, the cavalry, the chariots and the infantry, during ancient time}."
အၚ်္ဂမုက်ဍုၚ်မနွံဒၟံၚ်လ္ပာ်ဂၚ်,mnw,noun,(n) sea front.
အၚ်္ဂလိက်,mnw,noun,"(n) English, Europeon."
အၚ်္ဂလိက်,mnw,noun,ဗတ်အၚ်္ဂလိက် (n) in English.
အၚ်္ဂလိက်,mnw,noun,သၟိၚ်အၚ်္ဂလိက် (n) European official.
အၚ်္ဂလိက်,mnw,noun,ဟီုအရေဝ်အၚ်္ဂလိက် (n) to speak English.
အၚ်္ဂအာရီု,mnw,noun,(n) organ of the sense. [id] အိန္ဒြိ။
အၚ်္ဂၜောတ်,mnw,noun,(n) earthenware pot.
အစၚ်အခြၚ်,mnw,noun,"(n) thought, meditation, thinking, idea, cogitation."
အစၚ်အခြၚ်စိုတ်,mnw,noun,(n) imagination. [id.] ကသပ်စိုတ်။
အစပ်,mnw,noun,"(n) joining, place where two edges meet, union, being joined."
အစပ်သဟာဲ,mnw,noun,(n) close friend.
အစာတ်,mnw,noun,"(n) hot pickle prepared with chillies and vinegar, dish prepared by frying partially cooked meat with vegetables."
အစာံ,mnw,noun,"(n) standard, module, model, norm, record, sample."
အစာံသၟိၚ်,mnw,noun,(n) {of gold or silver etc.} standards of purity set by the king.
အစိတ်,mnw,noun,"(n) one quarter of viss or bushel, 25 ticals, division, part, portion, segment."
အစိန္တိယ,mnw,noun,"(adj.) [P] infinite, an attribute of Buddha, something beyond human comprehension. [id.] အစိန္တိယျ၊ အစိန္တိယေ။"
အစိုၚ်,mnw,noun,"(n) slow loris, Nyciticebus F. Cuvier, sloth. [Var.] ကစိုၚ်၊ ကစေၚ်။"
အစုတ်,mnw,noun,"(n) short time, short while, temporary, moment, percentage."
အစုတ်,mnw,noun,"လစုတ် (n). မွဲလစုတ် (n) one time, one percent. [Cf.] first sense. ခဏ၊ ချိုန်၊ ဏှေံ။"
အစေန်,mnw,adverb,"(adv) always, perpetually, eternally, ever lastingly."
အစေန်,mnw,noun,"အစေန်အဆက် (n) lineage, succession. [id.] အဆက်အစေန်။"
အစေန်အဆက်,mnw,noun,"(adv) successively, continually, traditionally.(n) unbroken line {of ancestry, tradition, practice, etc.}.(adv) continually, traditionally, successively. [id.] အဆက်အဆက်၊ ဗဗွဲလၟေၚ်၊ လၟေၚ်လၟေၚ်။"
အစောန်,mnw,noun,"(n) stain, blemish, mottled markings of birds or animals."
အစောန်စိုတ်,mnw,noun,"(n) envy, jealousy, feeling of ill will at another’s better fortune."
အစောန်အပြံက်,mnw,adjective,"(adj.)  spotted, marked of covered with spots, variegated, soiled, specked."
အစောန်အပြံက်တ္ၚဲ,mnw,adjective,(adj.) sunspot. [id.] အစောန်အပြံက်မညာတ်စှ်လှ်ေမွဲလှ်ေပ္ဍဲလ္တူဂၠးမုက်တ္ၚဲ။
အစောံ,mnw,noun,"(n) qualification, ability, competence, efficacy, power. [id.] သတ္တိ။"
အစောံ,mnw,noun,"ဇြဟတ်အစောံ (n) might, power of strength, power."
အစောံစရာဲကၠောန်ကမၠောန်,mnw,noun,"(n) competence calibre, efficiency, resourcefulness."
အစောံစရာဲတဲ,mnw,noun,(n) workmanship. [id.] ကဆံၚ်တဲ။
အစောံစရာဲတံၚ်ဓဇက်ပသဲ,mnw,noun,(n) magnetism. [id.] ကွတ်ပညာ ဓါတ်ပသဲဓဇက်ပသဲ။
အစောံစရာဲပ္တိတ်ကပေါတ်,mnw,noun,(n) productivity.
အစောံစရာဲဗွဲတၟေၚ်,mnw,noun,(n) speciality. [id.] အရာတၚ်မပြာကတ်ဗွဲတၟေၚ်။
အစောံဇြဟတ်,mnw,noun,"(n) power, power of strength, might."
အစောံဉာဏ်,mnw,noun,"(n) intellectual, ability."
အစောံတဲ,mnw,noun,"(n) martial prowess, dexterity, skill, prowess."
အစောံပညာ,mnw,noun,(n) qualifications for post or task.
အစောံပညာ,mnw,noun,အစောံပညာဗှ်ေသာ်လဵုရော (n) what are your qualifications?
အစောံသတ္တိ,mnw,noun,"(n) bravery, ability, power, daring, courage, prowess. [id.] ကြဳဇှ်သတ္တိ။"
အစောံသတ္တိသ္ကာတ်မြဟ်တဴဗွဲ,mnw,adverb,(adv) efficaciously. [id.] ကြဳဇှ်သတ္တိ။
အစဳအရေၚ်,mnw,noun,"(n) orders, arrangements, instructions, judgement, plan, preparation."
အစဳအေရၚ်ပေဲါအတး,mnw,noun,(n) arrangements for the New Year Festival.[Der.] ပြေၚ် (n) to arrange. [id.] စီရေၚ်။
အစဵုယျ,mnw,noun,"(n) [Bur] government, government authority. [Cf.] သၟိၚ်။"
အစံၚ်,mnw,noun,"(n) အစံၚ်အ္စာ (n) mentors, teachers."
အစံၚ်,mnw,noun,မၞးလ္ပစးဂလာန်မိမအ္စံၚ်အ္စာညိ (n) do not contradict your parents or teachers.
အစံၚ်အတူ,mnw,noun,"(n) distress of mind, perturbation {state of being perturbed}, anxiety. [Cf.] ဂဝိၚ်။[Der.] စံၚ်  (v) to burn.  တူ (v) to be burnt or burned."
အစး,mnw,noun,"(n) contrary fellow, obstinate or self-willed person."
အဆ,mnw,noun,"(n) multiple, fold, estimate, gauge, dexterity, touch."
အဆက်,mnw,noun,"(n) succession, lineage, descent, joint, the place where two things are joined. [id.] ဂကောံအရာမဆက်က္တဵုဒှ်ကၠုၚ်၊ ဒဒှ်မဆက်ကၠုၚ်။"
အဆက်ကောန်အဆက်စဴ,mnw,noun,"(n) posterity, following or future generations."
အဆက်က္ဍိုပ်,mnw,noun,(n) suture between parietal and occipital bones.
အဆက်ဇုတ်,mnw,noun,(n) joint {of bone}.
အဆက်နန်,mnw,noun,"(n) dynasty, series of rulers all belonging to the same family."
အဆက်မ,mnw,noun,"(n) line of descendants, generation."
အဆက်အစေန်,mnw,noun,"(n) succession, lineage. [Syn.] အစေန်အဆက်။ [id.] တၞောဝ်ဒ္တောဝ်။"
အဆက်အဆက်,mnw,adverb,(adv) successively.
အဆက်အဆက်,mnw,noun,(n) something which occurs consecutively or in succession.
အဆက်အဆေန်,mnw,noun,"(n) unbroken line {of ancestry, tradition, practice, etc}."
အဆက်အဆေန်,mnw,adverb,"(adv) continually, traditionally."
အဆက်အဆေန်မစှ်ေကၠုၚ်,mnw,noun,(n) hereditary succession. [id.] တၞောဝ်ဒ္တောဝ်အဆက်မေစှ်ကၠုၚ်။
အဆက်အဆောံ,mnw,noun,"(n) relationship, dealings, intercourse, the act of communicating, the sending or exchange of information, ideas."
အဆက်အဆောံဂၠံၚ်တရဴ,mnw,noun,(n) communication. [id.] အရာမပလံၚ်ကဵုပရိုၚ်၊ ပွမဆက်ဆောံ၊ ဒဒှ်မကေတ်အဆက်။
အဆၚ်,mnw,noun,"(n) storey, floor {in a building}, grade, rank, a rise to higher position."
အဆၚ်လ္တူ,mnw,noun,"(n) upper storey or floor, upper ster."
အဆၚ်သၟဝ်,mnw,noun,"(n) lower storey or floor, lower step."
အဆတဲ,mnw,noun,"(n) skill based on tactile sense, touch."
အဆတ်,mnw,noun,"(n) truth, reality, fact, what is right, what is correct, what is certain, what is genuine or authentic.(adv.) certainly."
အဆတ်အဆတ်,mnw,adjective,"(adj.) true, genuine."
အဆတ်အဆတ်,mnw,adverb,"ဗွဲအဆတ် (adv) truly, really, genuinely."
အဆသအိုပ်,mnw,noun,(n) relative humidity.
အဆိပ်,mnw,noun,"(n) seal, postage stamp. [id.] တဆိပ်၊ ကဆိပ်။"
အဆေဝ်,mnw,verb,(v) to slip. [id.] ကဆေဝ်၊ တဆေဝ်။
အဆေဝ်သွဝ်,mnw,noun,"(n) [Skt, apsaras] celestial nymph, nymph, fairy. အဆေဝ်သွဝ်ဗြဴ (n) [Skt, acehava] ကိန္နရဳ၊ ကောန်အိန်၊ ကောန်ဒေဝတဴ။ [id. Var.]"
အဆံၚ်သၟဝ်,mnw,adjective,(adj.) lower-class. [id.] ကဆံၚ်အသၟဝ်၊ အပြောံ။
အဆံၚ်အလံၚ်,mnw,noun,"(n) insignia of office, retinue.(adv) increasingly, more and more."
အဆံၚ်အလံၚ်,mnw,noun,ဨကရာဇ်ပွဳဗွိုၚ်ဗိုလ်လဗးအဆံၚ်အလံၚ် (n) the king went in procession with escort and retinue.
အဇ,mnw,noun,"(n) manner, habits, customs, behaviour, moral character, moral behaviour."
အဇတာ,mnw,noun,(n) the sky.
အဇာ,mnw,noun,"(n) substitution, kind, sort, species, variety, class."
အဇာခိုဟ်,mnw,noun,"(n) first class, good class."
အဇာတသတြု,mnw,noun,"(n) king Bimbisara’s son, who killed his father, patricidal son, one who has wronged is parents."
အဇု,mnw,noun,(n) great-grand father.
အဇုမ,mnw,noun,(n) Greek.(adj.) unleavened {of bread} made without yeast.
အဇ္ဇေ,mnw,noun,"(n) [P.] rectitude, honesty."
အဇ္ဇျတ္တိကာ,mnw,adjective,"(adj.) [P.] personal, individual, subjective."
အဇ္ဇျတ်,mnw,adjective,(adj.) [P. ajjahttam] relating to the individual.
အဇ္ဇျာသယ,mnw,noun,"(n) [P. ajjhasayo] intention, meaning, thought, inclination."
အညတရ,mnw,noun,"(n) [P.] nonentity, person without any special qualities or achievements, unimportant person."
အညမည,mnw,noun,(n) [P.] correlation.
အညမည,mnw,adverb,"(adv) correlatively, mutually. [id.] ဒဒှ်ပွဒၟာနူညးဒၟာနူအဲ။"
အညာ,mnw,noun,"1 (n) small tree found on beaches and tidal forests, yielding fibre for making cattle ropes, sea hibiscus, corkwood, Hibiscus tifiaceus. [id.] ဂ္ညာ။   ဇုက်ဂ္ညာ။ (n) acacia concinna creeper."
အညာ,mnw,adjective,"2 (adj.) knowledge, understanding, familiarity gained by experience, range of information, general knowledge. [id.] အရာမတုပ်သၟဟ်လဝ်စိုတ်၊ ဒဒှ်မမြက်စာဍိုဟ်ကေက်၊ ဒဒှ်မလေပ်စိုန်သ္ကီုကၠိုဟ်ခၠၚ်၊ ပြတ်ညာ၊ ပြဒ္ညာ။ မနွံကဵုဓဝ်ကၠိုဟ်ခၠၚ်၊ သတိဘာန်၊ မနွံကဵုလညာတ်ဆဵုဂဗ။"
အညာနာနာသာ်,mnw,noun,(n) general knowledge.
အညာမဗၠးကဵုမှာရာ,mnw,noun,(n) perfect knowledge.
အညာမဟၟဲကဵုမှာရာ,mnw,noun,(n) infallible knowledge. [id.] အဘိသမ္ဗောဓိ။
အညှာ,mnw,noun,(n)  nutmeg. [id.] သတ်ဇာဒိဖဵု။
အညှော,mnw,noun,"(n) offensive smell {especially of frying or singeing, smell of burning or frying}."
အဍိုၚ်,mnw,noun,(n) deaf person.(v) to be sluggish. [id.] အ္ဍိုၚ်။
အဍဲ,mnw,noun,"1 (n) the inside, interior, duration, what is not apparent, private, arcade. [id.] အပ္ဍဲ (adv) within. [id.] အ္ဍဲ။"
အဍဲ,mnw,adjective,"2 (adj.) inner, personal, individual. [id.] အ္ဍဲ။ အပ္ဍဲ။"
အဏု,mnw,noun,"(n) [P.] particle, very small bit, atom."
အဏေံ,mnw,noun,"(n) small fellow, little boy."
အဏံ,mnw,noun,"(adv) here, this point or place {in narrative}, at this time, now, then."
အဏံ,mnw,adverb,"အဏံ လထဴကဵုဣနုညးၜါဂှ် သွက်ဂွံဂယိုၚ်လမျီုဇကု သ္ဒးကၠောန်ဒၟံၚ်ဂူ (adv) the man and the girl E Nu, now had to cultivate gardens for living."
အဏံ,mnw,adverb,ကၠုၚ်အဏံ (adv) come here.
အဏံ,mnw,adverb,ညးနွံအဏံဂှ် (adv) those who are here. [Cf.] ဣဏံ၊ အတေံ၊ သာ်ဏံ။
အဏ္ဍဇ,mnw,noun,(n) [P.] oviparous birth.
အတၚ်,mnw,noun,(n) upper part of a Mon woman petticoat.
အတၚ်ဂၞိန်,mnw,noun,"(n) strip of cloth at the top of a Mon woman’s skirt, band of cloth {usually black} stitched on to the upper hem of a woman waistcloth, piece of cloth joined to the top of a woman’s skirt. [id.] တၚ်ဂၞိန်။"
အတၚ်န,mnw,noun,(n) the binding around the top of basket.[Der.] တၚ်ထပ် (n) strip of cloth.
အတာ,mnw,noun,"(n) {arch} unit of distance measure {equal to7 cubits}, duty, allotment of duty, responsibility, assignment, barrier, garish colour or the colour of Palmyra fruit {as dog, cow, fowl}."
အတာန်,mnw,noun,"(n) form, class, standard {in school}."
အတာန်,mnw,noun,ဂွံမူစိအတာန်ေရာ (n) what standard did you get up to?
အတာန်,mnw,noun,ပ္ဍဲဘာလိက်သွက်အတာန်ဏံနွံဖအိုတ်ဟာ (n) have you got all the books which we use in this form. [Var.] တန်။
အတိ,mnw,noun,"1 (n) quiet fellow, silent person."
အတိ,mnw,noun,"2 (n. adj.) [P.] extreme, excessive."
အတိကာလ,mnw,noun,(n) [P. atita kalo] past time.
အတိက်,mnw,noun,"(n) [P. atite] the past, pastime, former times, ancient times."
အတိက်,mnw,noun,အတိက်တေံဨကရာဇ် သၟိၚ်ဓမ္မစေတဳ ပ္ကၚ်ရၚ်ဍုၚ်ဟံသာသတဳ (n) in former times king Dhaommaecaytoi ruled Honsarwaetoi.
အတိဇာတ,mnw,noun,(n. adj.) [P.] {person} born with talents excelling those of his parents. [Cf.] အနုဇာတ၊ အဝဇာတ။
အတိုၚ်,mnw,noun,"(n) accordance, in accordance with, according to, as, along. [Cf.] အလိုက်၊ ညံၚ်။"
အတိုၚ်,mnw,noun,အတိုၚ်ဍေံဟီုဂှ်သပုန်တံ လုပ်ဗ္တိုက်ကံကြိက် (n) according to what he says the insurgents have attacked Kon Kroik.
အတိုၚ်,mnw,,"အတိုၚ်မၞးတီဂှ် အဲမံၚ်အဏံလံဟွံသေၚ် (prep) as you know, I am not staying here long."
အတိုၚ်ဂၠံၚ်ဏံအာ,mnw,noun,(n) go along this road.
အတိုၚ်ပကိတိမဟၟံကဵုဝ်အရာပ္တိုန်စ,mnw,adverb,(adv) literally. [id.] နဒဒှ်ချိုတ်ချိုတ်ပၠိုတ်ပၠိုတ်။
အတိုၚ်ဗီုသဘာဝ,mnw,adverb,(adv) naturally. [id.] အတိုၚ်ဒဒှ်ဗီုသဘာဝ၊ အတိုၚ်မရန်တၟံလဝ်၊ နဒဒှ်မစှ်ေကဵုသဘာဝ။
အတိုၚ်မဒုၚ်လဝ်ဝန်,mnw,adverb,(adv) confessedly. [id.] အတိုၚ်မဒုၚ်လဝ်ကံပါၚ်။
အတိုၚ်မဖျေံလဝ်ဗီု,mnw,noun,(prep) according to plan or pattern.
အတိုၚ်ယာဲၜံၚ်လဝ်,mnw,adverb,"(adv) as one was born, in the nude."
အတိုၚ်လဟီုဍေံ,mnw,adverb,(adv) professedly. [id.] ဗီုလဟီုဍေံ၊ နဒဒှ်လဟီုဍေံ။
အတိုၚ်အခိုက်ကၞာပကတိ,mnw,adjective,(adj.) formal. [id.] ဗီုအတိုၚ်တြေံ၊ ဗီုအတိုၚ်သၞောဝ်။
အတိုၚ်အလိုက်,mnw,noun,(n) accord.
အတိုၚ်အလိုက်ဍေံအာ,mnw,noun,(n) he went of his own accord.
အတိုၚ်အသံ,mnw,adverb,(adv) according to the order.
အတိုန်,mnw,noun,"(n) proud and haughty man, conceited man."
အတီု,mnw,noun,(n) stupid or dull person.
အတုန်အခၠေဝ်,mnw,noun,"(n) reciprocity, requital, the returning of favours, the repaying of kindness, principle or practice of give and take. [id.] တၠုၚ်လအာ၊ ပွမခၠေဝ်ဂုဏ်။"
အတုလ,mnw,adjective,(adj.) [P.] incomparable.အတုလံၚ် (adj.) poetical usage of 'အတုလ'
အတုဲ,mnw,noun,"(conj) after, after that, next, then."
အတုဲတှ်ေ,mnw,adverb,"(adv) then, after that, next after that, afterwards, and also."
အတုဲတှ်ေ,mnw,verb,"ကာလတုဲ (v) when finished, finished, when came to an end. [Cf.] ကာလတုဲမ္ဂး။"
အတူ,mnw,verb,"1 (prep.) [colloq] upper part, top, on top of, on use variously to denote relationship between quality and person possessing it. [id.] လ္တူ။   အာဂ္ဇံလ္တူခါတ်တေံညိ (prep) sit over there on the bed.   အဲလေတ်စုတ်ဍာ်သာဲလ္တူကွာၚ် (prep) I spread honey on my bread.   ဂစေံပဝ်လ္တူအကး (prep) birds are flying in the air.   ဂၠာဲဒုဟ်လ္တူညးတၞဟ် (prep) to seek out faults in others.   ဍုၚ်ဗၟာလ္ပာ်လ္တူတေံ(အ်) (prep.) upper Burma.   ထပ်လ္တူ (prep.) upper storey.   ပ္ဍဲလ္တူတၞံဆု (prep.) on the top of the tree.   ဗ္ၜက်လဝ်ပလောံလ္တူဇုက်တေၚ်ဂှ်(ဟ်) (prep.) hang your shirt on the line. [Cf.] အထောတ်၊ တၞောတ်၊ သမၠုၚ်။   [Der.] လ္တူ (v) to be superior. [id] အတူ။   လ္တူကၞဳ (prep.) on the floor.   လ္တူသ္ၚိ (perp.) {up} on the house.   လ္ပသၠေဟ်ပၟာလ္တူဍေံညိ (perp.) you need have no doubts about him."
အတူ,mnw,noun,"2 (n) see အစံၚ်အတူ (n) distress, perturbed, anxiety."
အတေၚ်,mnw,noun,"(n) against the will of the person acted upon, forcibly."
အတေၚ်,mnw,noun,ညးဗြဴတံဂှ်လုပ်ပတ်အတေၚ်တုဲဲ (n) the women came in and massaged him in spite of his objections. [Cf.] အနိၚ်။
အတေံ,mnw,noun,(n) there.
အတေံ,mnw,noun,အတေံဟွံမွဲ (n) there is none there.
အတေံ,mnw,noun,အာအတေံတုဲ (n) having gone there. [Cf.] အဏံ၊ ဣတေံ။[Der.] တေံ။ (n) that.
အတဵု,mnw,noun,"(n) delinquent, juvenile delinquent, person who fails to do this duty."
အတး,mnw,noun,"(n) the period of the new year, new year festival attended by water-throwing ဝေၚ်ဍာ် and other rain-making and fertility practices. [Cf.] သၚ်္ကြာန်။ [Var.] ကတး၊ အာတး။"
အတးစှ်ေ,mnw,verb,(v) be the time for အတး new year festival to commence.
အတးတိုန်,mnw,verb,(v) be the time for အတး new year festival to end. [id.] တ္ၚဲဝေၚ်ဍာ်အတးဗွဲကြဴအိုတ်။
အတ္တ,mnw,noun,"(n) I, self."
အတ္တဘဴ,mnw,noun,"(n) [P. attabhavo] person, self, individual, personality body, form."
အတ္တဘဴဒေသတဴ,mnw,noun,(n) form of devas.
အတ္တဘဴမၞိဟ်,mnw,noun,(n) form of a man.
အတ္ထ,mnw,noun,"(n) [P.] substance, reality."
အတ္ထမ,mnw,noun,(n) ord. num. [P.] eighth. [id] အဋ္ဌမ။
အတ္ထုပ္ပတ္တိပူဂဵု,mnw,noun,"(n) autobiography, memoirs."
အတ်,mnw,noun,(n) num. [P. attha] eight.
အတ်သ္တဵု,mnw,noun,(n) [P. assataro] mule.
အတြုံ,mnw,noun,"(n) man, fellow. [Cf.] ဣဗြဴ။[Der.] တြုံ (n) male person."
အတှ်,mnw,noun,"(n) pillar, post, standing alone."
အတှ်ဆုဣန္တက္ခဳ,mnw,noun,(n) [P. indakhila] post in front of a gate.
အတှ်တၟံ,mnw,noun,(n) stone pillar. [id.] တိုၚ်အတှ်၊ ဒယိုၚ်အတှ်။
အထက်,mnw,noun,"(n) life span, life time. [id.] အယုက်အထက်။"
အထပ်တိ,mnw,noun,(n) earth stratum.
အထာ,mnw,noun,"(n) [colloq] Pali verse, incantation, stanza. [id.] ဂါထာ။"
အထိၚ်ဒပ်,mnw,noun,(n) military police.
အထိုက်,mnw,noun,"(n) petal, custom, manner."
အထိုက်အထိုက်,mnw,adverb,(adv) fittingly.
အထိုက်အလိုက်,mnw,noun,"(n) custom, manner."
အထိုၚ်အသး,mnw,noun,"(n) admiration, acclamation. [id.] အထိုၚ်သး။"
အထိုၚ်အသး,mnw,verb,"ထိုၚ်သး (v) praise, honour, great respect, be famed, glory."
အထုပ်,mnw,noun,"(n) hat, helmet, bundle, wrapper."
အထုပ်,mnw,noun,အထုပ်က္ဍိုပ်ဏံဇၞော်လောန်အာ (n) that hat is too big. [Cf.] ခၟံက်၊ ခၟော်၊ ခၟိၚ်။ [Syn.] ခပေဲ။ [Var.] ဂထုပ်၊ ကထုပ်။
အထုပ်ကဴ,mnw,noun,(n) petal of a flower.
အထေၚ်,mnw,noun,"(n) guess, conjecture, assumption, notion, opinion, point of view, estimation."
အထေၚ်ဇၞော်,mnw,verb,"(v) think highly {of someone}, have a high esteem {of someone}, overestimate somebody."
အထေၚ်ဍောတ်,mnw,verb,"(v) look down upon, have a low opinion of someone, underestimate."
အထေၚ်ဗၠေတ်,mnw,verb,"(v) misjudge, misunderstand."
အထေၚ်သဝ်,mnw,noun,"(n) act of looking down upon, having a low opinion of someone, under estimate."
အထေၚ်သောဲ,mnw,noun,(n) act of looking down upon.
အထောတ်,mnw,noun,"(n) pinnacle, summit, top."
အထောတ်ကၞောတ်,mnw,noun,"(n) the topmost, summit, peak, the highest, culmination, pinnacle."
အထောတ်ပြာသာဒ်,mnw,noun,(n) pinnacle surmounting ceremonial pavilion. [Cf.] လ္တူ၊ ဍဟ်၊ တၞောတ်၊ သမၠုၚ်။
အထဴ,mnw,noun,"(n) an old man, the who has been married."
အထံက်,mnw,noun,"(n) support, help, assistance, prop, strut, scout, supporting evidence, proof, reference, act of setting."
အထံက်ကၚ်,mnw,noun,(n) reconnaissance patrol.
အထံက်ကောန်အထံက်စဴ,mnw,noun,(n) sons and grandsons who would look after parents.
အထံက်ဒပ်,mnw,noun,(n) quartermaster.
အထံက်အပၚ်,mnw,noun,"(n) help, aid, support, the act of helping, the act of supporting."
အထံၚ်,mnw,noun,"(n) bight, curve in a coast, larger then or with not so much curve as a bay, bend, turn, gulf."
အထံၚ်ဂၚ်,mnw,noun,(n) gulf.
အဒါ,mnw,noun,(n) duck.
အဒါက္ၜၚ်,mnw,noun,"(n) comb duck, Muscovy duck {Eng. Muscovy}."
အဒါက္ၜဳ,mnw,noun,(n) wild duck.
အဒါကၟက်,mnw,noun,(n) drake.
အဒါဂြိုပ်,mnw,noun,(n) wild duck.
အဒါ်,mnw,noun,(n) name of one hero buffalo of King Asah.
အဒိ,mnw,noun,"(n) [P. adi] beginning, starting point, start, source, origin."
အဒိန်အဝ,mnw,noun,"(n) [P. adinavo] distress, suffering, evil result or consequence, serious danger or difficulty, great pain, sorrow or discomfort. [id.] ဒဒိုက်။ ဒဒှ်မဂိက္တာန်။ ဒဒှ်မဂိယဲ။ ဒုက္ခ။ ဓဒိုတ်။ ဝေဒနာ။"
အဒိုတ်,mnw,noun,"(n) the first day of the week, Sunday."
အဒိုတ်,mnw,noun,"ဂြိုဟ်အဒိုတ် (n) the first of the eight planets, the sun."
အဒိုတ်,mnw,noun,တ္ၚဲအဒိုတ် (n) Sunday.
အဒုတ်,mnw,noun,"(n) a man who has poor dealings with one person, group, country."
အဒေါဝ်,mnw,noun,(n) middle.
အဒေါဝ်ကွာန်,mnw,noun,(n) main or central part of a village.
အဒေါဝ်ဂၠံၚ်,mnw,noun,"(n) in the middle of the road, en-route, midway. [id.] ဘာ်တရဴ။"
အဒေါဝ်ဂၠံၚ်ဇၞော်,mnw,noun,(n) roadway.
အဒေါဝ်တ္ၚဲ,mnw,noun,(n) noon. [Cf.] တ္ၚဲတဴဓဝ်။ တ္ၚဲဓဝ်။
အဒေါဝ်ဗ္တံ,mnw,noun,(n) midnight. [Syn.] သ္ဂာတ္ၚဲ။ သ္ဂာဗ္တံ။ ဒယိုၚ်အဒေါဝ် (n) post in centre of side wall. [Cf.] ဍဲ၊ ထ္ဍဲ၊ ဒေါဝ်။
အဓမ္မ,mnw,noun,"(n) [P.] an illegal act against the law, unlawfulness, unjust action that which is false or wrong.(adv) forcibly."
အဓမ္မိက်,mnw,adjective,"(adj.) [P.] irreligious, impious, wicked."
အဓါန်,mnw,noun,"(n) time, interval.(adv) continually."
အဓိက,mnw,adjective,"(adj.) [P.] chief, principal, first among many, that which is important, significant, basic, predominant factor."
အဓိကဵု,mnw,noun,"(n) [P. adhikaranam] dispute, argue or disagree about something, oppose, try to prevent, matter of dispute, difficulty."
အဓိတ္တာန,mnw,noun,"(n) [P.] oracle, omen, enigma."
အဓိတ္ထာန,mnw,noun,"(n) [P.] oracle, omen, enigma."
အဓိထာန,mnw,noun,"(n) [P.] resolution, vow."
အဓိထာန်,mnw,noun,"(n) resolution, vow. [id.] အဓိဌာန်၊ အဓိဓါန်။"
အဓိထာန်,mnw,noun,"သ္ပအဓိထာန် (v) to make a vow, determination. [Cf.] သ္စာ။ [Syn.] သွဴ။ [Var.] ဓိထာန်၊ ဓိဌာန်။"
အဓိပ,mnw,noun,"(n) [P.] chief, lord, head of state, sovereign, that which is pre-eminent, chancellor of university. [Cf.] အဓိပတိ။"
အဓိပတိ,mnw,noun,(n) [P.] see အဓိပ (n) [P.].
အဓိပတေယျဒိပ်,mnw,noun,"(n) [P.] supreme rule, supremacy."
အဓိပ္ပတ္တိ,mnw,noun,"(n) [P.] circumstances, events, adventures."
အဓိပ္ပဲါ,mnw,noun,"(n) [P.] interpretation, explanation, meaning, sense. [id.] တၚ်မိက်ဂွံသ္ဂး။"
အဓိပ္ပဲါ,mnw,verb,ကၠာဲအဓိပ္ပဲါ (v) to translate.  ပံက်အဓိပ္ပဲါ (v) to expound a passage. [id.] ပွံက်အဓိပ္ပဲါ။
အဓိပ္ပဲါ,mnw,noun,သွက်အဓိပ္ပဲါအရေဝ်ဂှ် ဗှ်ေဂၠာဲရံၚ်ပ္ဍဲအဘိဓါန်ဗှ်ေကီုဟာ (n) did you look up the meaning of this word in your dictionary?
အဓိပ္ပဲါတံဝေါဟာမွဲမွဲမ,mnw,noun,(n) signification.
အဓိပ္ပဲါဗြေဝ်,mnw,noun,(n) derived or extended meaning.
အဓဳ,mnw,noun,"(n) married man, old man. [Cf.] ဗၠာဲ၊ မဂဳ။"
အနက်,mnw,noun,"(n) collection, aggregate, whole, great-grandfather."
အနဂ္ဃ,mnw,adjective,"(adj.) [P.] immeasurable, inestimable, too great to be estimated or given a value, that cannot be measure, something immeasurable, inestimable, too great, precious."
အနတ္တ,mnw,noun,"(n) [P.] unsubstantiality, vanity,"
အနန္တ,mnw,adjective,"(adj.) [P.] endless, boundless, infinite. [id.] မဟွံမွဲကဵုစိုပ်ဒတုဲ၊ မဟွံမွဲကဵုတၞောတ်၊ မဟွံမွဲကဵုနိဂီု။"
အနန်,mnw,noun,(n) younger brother of Lord Buddha.
အနပုလ္လိၚ်,mnw,noun,"(n) [P.] common gender, also. ဒွိလိၚ်။"
အနမတဂ္ဂ,mnw,adjective,"(adj.) innumerable, numberless."
အနာ,mnw,noun,"1 (n) [P. ana] an order, command."
အနာ,mnw,noun,2 (n) [colloq] pavilion. [id.] ကၞာ။
